"0010"!#""!#"0010__08199"!#"15"!#"7"!#"LE PARC DES 4 SAISONS"!#"BAT E - STATIONNEMENTS"!#"04"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201504"!#"0"!#"0"!#"201306"!#"0"!#"N"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10026"!#"31"!#"2"!#"NEO VILLAGE"!#"LOCAL D'ACTIVITE"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202002"!#"0"!#"0"!#"202112"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10034"!#"3"!#"2"!#"VILL'ARBOREA"!#"ILOT 3 - 8 LOTS AL + 8 PARK SSOL"!#"24"!#"2"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202303"!#"0"!#"0"!#"202105"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10034"!#"4"!#"2"!#"ILOT 4 BAT 41"!#"ILOT 4 BAT 41"!#"24"!#"10"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202302"!#"0"!#"0"!#"202009"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10034"!#"10"!#"2"!#"VILL'ARBOREA"!#"ILOT 10 - 35 COLLECTIFS"!#"24"!#"14"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202304"!#"0"!#"0"!#"201810"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10034"!#"11"!#"2"!#"VILL ARBOREA"!#"ILOT 11 - 32 LOTS DT 5 ACC MAITR"!#"24"!#"4"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202201"!#"0"!#"0"!#"201903"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10034"!#"14"!#"2"!#"VILL ARBOREA"!#"ILOT 4 BAT 42"!#"24"!#"5"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202302"!#"0"!#"0"!#"202009"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10035"!#"1"!#"2"!#"LILLE VILLA ULMA"!#"LOT NEXITY"!#"24"!#"3"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202302"!#"0"!#"0"!#"202007"!#"0"!#"O"!#"07"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10040"!#"1"!#"2"!#"ORIG IN"!#"BAT A - 10 LOTS"!#"20"!#"3"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202303"!#"0"!#"0"!#"202010"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10040"!#"2"!#"2"!#"ORIG IN"!#"BAT B - 47 LOTS"!#"20"!#"4"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202303"!#"0"!#"0"!#"202010"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10043"!#"1"!#"2"!#"PARK AVENUE"!#"BATIMENT A"!#"24"!#"2"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202304"!#"0"!#"0"!#"201804"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10043"!#"3"!#"2"!#"PARK AVENUE"!#"BAT A - SNI"!#"22"!#"2"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202304"!#"0"!#"0"!#"201812"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10043"!#"6"!#"2"!#"GREEN PARK"!#"BAT A LOT 12"!#"24"!#"25"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202304"!#"0"!#"0"!#"202110"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10062"!#"2"!#"2"!#"RÉSIDENCE DE LA BRAYELLE"!#"BAT B ACCESSION - 22 LOTS"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202303"!#"0"!#"0"!#"202105"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10072"!#"1"!#"2"!#"LES JARDINS PONSARDIN"!#"MARMOUZETS 29LOTS"!#"24"!#"11"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202402"!#"0"!#"0"!#"202106"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10072"!#"2"!#"2"!#"LES JARDINS PONSARDIN"!#"BARRATIERS - 11 LOTS"!#"24"!#"3"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202401"!#"0"!#"0"!#"202106"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
